correlation,froi1,froi2,same_cyto,same_category,perm
0.8719402389793184,pFus,pOTS,1,0,9
0.5284839987667909,mFus,mOTS,1,0,10
0.8785447982394518,mFus,OTS,1,0,10
0.12396979501194959,mFus,PPA,0,0,10
0.4607352533961,mFus,pFus,0,1,10
0.22956183174961547,mFus,pOTS,0,0,10
0.6407746567650723,mOTS,OTS,1,0,10
0.06603162121907176,mOTS,PPA,0,0,10
0.28285770811090033,mOTS,pFus,0,0,10
0.2057535303525347,mOTS,pOTS,0,1,10
0.07016493663017839,OTS,PPA,0,0,10
0.306908132277241,OTS,pFus,0,0,10
0.10730885976325658,OTS,pOTS,0,0,10
0.30113522699035505,PPA,pFus,0,0,10
0.3131625386439662,PPA,pOTS,0,0,10
0.8714946325034697,pFus,pOTS,1,0,10
0.6072170325959189,mFus,mOTS,1,0,11
0.939366699589326,mFus,OTS,1,0,11
0.11545442547740487,mFus,PPA,0,0,11
0.49443828839315385,mFus,pFus,0,1,11
0.31100698496424567,mFus,pOTS,0,0,11
0.697868053693747,mOTS,OTS,1,0,11
0.06149607359678949,mOTS,PPA,0,0,11
0.28304778523334284,mOTS,pFus,0,0,11
0.20040604408120488,mOTS,pOTS,0,1,11
0.11753601471875584,OTS,PPA,0,0,11
0.42198292285611144,OTS,pFus,0,0,11
0.20167978262536662,OTS,pOTS,0,0,11
0.28322688492947984,PPA,pFus,0,0,11
0.276139874453814,PPA,pOTS,0,0,11
0.8291772517173536,pFus,pOTS,1,0,11
0.6516404466161201,mFus,mOTS,1,0,12
0.8683242482086178,mFus,OTS,1,0,12
0.1314746480717876,mFus,PPA,0,0,12
0.5102038193950862,mFus,pFus,0,1,12
0.2580199748795261,mFus,pOTS,0,0,12
0.7682220509244392,mOTS,OTS,1,0,12
0.07058692830110377,mOTS,PPA,0,0,12
0.3165565118463397,mOTS,pFus,0,0,12
0.1887734171344521,mOTS,pOTS,0,1,12
0.08098841847302247,OTS,PPA,0,0,12
0.32335044471006646,OTS,pFus,0,0,12
0.06219972354897072,OTS,pOTS,0,0,12
0.29188475199509917,PPA,pFus,0,0,12
0.24275338863844764,PPA,pOTS,0,0,12
0.8566589730380768,pFus,pOTS,1,0,12
0.6452163122624429,mFus,mOTS,1,0,13
0.914272557190024,mFus,OTS,1,0,13
0.10553252127148513,mFus,PPA,0,0,13
0.30662903297976163,mFus,pFus,0,1,13
0.1776347993986593,mFus,pOTS,0,0,13
